rat,rsrp,rsrq,snr,pci,deltaTcpKernelLossRate,deltaDnsRttAvg,deltaTcpKernelRttAvg,dlRateBps,ulRateBps,retans,totalretrans,unacked,retransmit,lostCount,avgRttVar,minRtt,avgRtt,isVedioDataStall,isVideoFront
20.0,-85.0,-11.0,8.0,0.0,0.0,47.0,-1.0,199.0,2.0,0.0,1.0,0.0,0.0,0.0,189462.0,18250.0,259897.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,0.0,156.0,2.0,0.0,0.0,0.0,0.0,0.0,191696.0,18250.0,260024.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,89.0,-1.0,179.0,1.0,0.0,0.0,1.0,0.0,0.0,190322.0,18250.0,257142.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,-7.0,179.0,1.0,0.0,1.0,0.0,0.0,0.0,197899.0,18250.0,264551.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,-1.0,178.0,1.0,0.0,0.0,0.0,0.0,0.0,198139.0,18250.0,264693.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,23.0,175.0,3.0,0.0,0.0,0.0,0.0,0.0,184695.0,18250.0,241179.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,23.0,33.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,146680.0,18250.0,174235.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,138748.0,18250.0,170155.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,2.0,101.0,4.0,0.0,1.0,0.0,0.0,0.0,135947.0,18250.0,174798.0,1.0,0.0
13.0,-85.0,-6.0,27.0,1.0,13.0,-1.0,-1.0,0.0,6.0,3.0,9.0,11.0,2.0,6.0,175141.0,18250.0,186166.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,28.0,-1.0,-6.0,72.0,4.0,3.0,6.0,10.0,8.0,8.0,172469.0,18250.0,192815.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,-1.0,9011.0,-32.0,0.0,2.0,3.0,3.0,13.0,10.0,9.0,182371.0,18250.0,225507.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,500.0,5339.0,7.0,2.0,2.0,1.0,6.0,10.0,2.0,4.0,190844.0,18250.0,218022.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,77.0,1465.0,0.0,1.0,2.0,6.0,13.0,14.0,7.0,11.0,193808.0,18250.0,217403.0,1.0,0.0
13.0,-85.0,-6.0,27.0,0.0,-75.0,4415.0,93.0,2.0,1.0,3.0,2.0,10.0,1.0,5.0,204114.0,18250.0,310875.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,10.0,-1.0,91.0,75.0,6.0,4.0,2.0,8.0,2.0,7.0,153896.0,18250.0,219078.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,2.0,-1.0,-1.0,1.0,2.0,3.0,3.0,11.0,3.0,6.0,181118.0,40637.0,195850.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,8.0,-1.0,-11.0,0.0,1.0,4.0,9.0,14.0,5.0,7.0,183616.0,18250.0,241210.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,7.0,4202.0,-7.0,8.0,3.0,7.0,14.0,24.0,5.0,10.0,208456.0,18250.0,195348.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,-2.0,1241.0,-105.0,155.0,13.0,1.0,19.0,5.0,1.0,4.0,243207.0,18250.0,300642.0,1.0,0.0
13.0,-93.0,-7.0,25.0,0.0,0.0,717.0,-28.0,69.0,4.0,1.0,1.0,13.0,1.0,4.0,275985.0,18250.0,328962.0,1.0,0.0
13.0,-103.0,-7.0,17.0,1.0,0.0,1040.0,34.0,6.0,4.0,1.0,7.0,11.0,1.0,4.0,265988.0,18250.0,294582.0,1.0,0.0
13.0,-103.0,-7.0,17.0,0.0,-4.0,-1.0,-1.0,1.0,3.0,2.0,3.0,15.0,1.0,5.0,276949.0,18250.0,301571.0,1.0,0.0
13.0,-103.0,-7.0,17.0,0.0,5.0,-1.0,-1.0,9.0,2.0,2.0,4.0,11.0,1.0,6.0,289057.0,18250.0,322930.0,1.0,0.0
